[31/Dec/2023:01:17:24 +0000] - 502 502 - GET http local.test "/" [Client 172.23.0.1] [Length 556] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" "-"
[31/Dec/2023:01:17:24 +0000] - 502 502 - GET http local.test "/favicon.ico" [Client 172.23.0.1] [Length 556] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" "http://local.test/"
[31/Dec/2023:01:17:26 +0000] - 502 502 - GET http local.test "/" [Client 172.23.0.1] [Length 556] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" "-"
[31/Dec/2023:01:17:26 +0000] - 502 502 - GET http local.test "/favicon.ico" [Client 172.23.0.1] [Length 556] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" "http://local.test/"
[31/Dec/2023:01:17:27 +0000] - 502 502 - GET http local.test "/" [Client 172.23.0.1] [Length 556] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" "-"
[31/Dec/2023:01:17:28 +0000] - 502 502 - GET http local.test "/favicon.ico" [Client 172.23.0.1] [Length 556] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" "http://local.test/"
[31/Dec/2023:01:17:32 +0000] - 502 502 - GET http local.test "/" [Client 172.23.0.1] [Length 556] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" "-"
[31/Dec/2023:01:18:44 +0000] - 502 502 - GET http local.test "/favicon.ico" [Client 172.23.0.1] [Length 556] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" "http://local.test/"
[31/Dec/2023:01:18:49 +0000] - 502 502 - GET http local.test "/" [Client 172.23.0.1] [Length 556] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" "-"
[31/Dec/2023:01:18:49 +0000] - 502 502 - GET http local.test "/favicon.ico" [Client 172.23.0.1] [Length 556] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" "http://local.test/"
[31/Dec/2023:01:18:54 +0000] - 502 502 - GET http local.test "/" [Client 172.23.0.1] [Length 556] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" "-"
[31/Dec/2023:01:18:54 +0000] - 502 502 - GET http local.test "/favicon.ico" [Client 172.23.0.1] [Length 556] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" "http://local.test/"
[31/Dec/2023:01:19:24 +0000] - 502 502 - GET http local.test "/" [Client 172.23.0.1] [Length 556] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" "http://127.0.0.0:81/"
[31/Dec/2023:01:19:24 +0000] - 502 502 - GET http local.test "/favicon.ico" [Client 172.23.0.1] [Length 556] [Gzip -] [Sent-to 127.0.0.1] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" "http://local.test/"
